Date,Temperature,Light Intensity,Co2 Level,Predict Sucess
5/2/2021,23.77,10,2,27.14
7/24/2020,28.65,3,4,22.81
7/28/2020,20.56,2,7,22.76
6/8/2021,24.74,10,10,26.56
7/31/2020,27.76,4,6,27.67
1/3/2021,29.45,5,2,28.96
4/15/2021,29.72,5,4,24.07
4/24/2021,21.71,5,7,25.91
1/7/2021,23.87,10,6,24.29
3/13/2021,26.5,7,12,23.83
3/14/2021,22.49,2,1,20.93
5/8/2021,26.61,6,1,21.74
7/13/2021,26.33,9,4,24.36
8/18/2020,25.0,8,4,26.53
1/19/2021,20.29,9,11,21.54
6/6/2021,24.32,5,4,21.25
7/3/2021,21.47,9,9,23.8
4/16/2021,24.72,3,9,29.51
4/19/2021,24.44,7,1,20.9
2/10/2021,28.87,8,1,27.52
1/27/2021,23.53,6,5,21.83
3/12/2021,23.03,9,5,20.28
1/12/2021,27.44,4,3,20.18
7/22/2020,20.03,5,3,25.73
10/10/2020,25.87,3,2,29.35
5/17/2021,24.24,5,10,28.11
8/25/2020,20.23,6,6,25.08
10/23/2020,22.43,4,4,21.85
5/21/2021,28.8,5,8,28.11
11/28/2020,26.3,2,5,24.45
8/13/2020,29.66,8,8,25.22
4/6/2021,23.88,3,12,22.11
7/17/2020,25.99,6,12,26.74
4/9/2021,20.61,4,4,24.38
12/12/2020,26.74,10,7,26.44
5/27/2021,29.45,7,2,24.2
1/1/2021,29.34,1,4,28.65
3/28/2021,22.11,3,4,23.72
8/11/2020,25.63,4,6,20.14
1/15/2021,24.4,2,1,25.47
5/22/2021,28.88,10,10,29.75
6/27/2021,22.38,3,1,27.44
8/10/2020,25.04,9,2,22.65
6/14/2021,25.6,6,11,22.15
4/14/2021,26.32,1,9,28.09
2/23/2021,28.65,5,7,22.68
1/20/2021,23.37,10,12,23.42
1/29/2021,25.22,2,12,27.43
10/15/2020,25.88,1,10,29.03
10/12/2020,26.19,5,8,28.71
7/18/2020,25.67,7,2,24.89
6/8/2021,22.2,6,6,27.46
1/25/2021,23.23,6,5,22.57
2/5/2021,20.25,1,5,21.21
2/27/2021,22.6,5,8,21.01
10/25/2020,28.33,3,8,24.92
7/25/2020,21.73,5,3,20.68
6/21/2021,22.13,2,2,24.53
6/15/2021,21.37,6,10,27.94
12/13/2020,28.68,4,11,26.16
12/20/2020,21.89,8,11,25.6
10/22/2020,28.91,4,8,23.96
5/29/2021,21.59,2,9,24.81
3/3/2021,21.12,3,1,23.93
3/12/2021,25.13,2,4,28.98
6/21/2021,20.01,7,3,26.36
5/15/2021,24.85,6,8,25.65
6/11/2021,27.31,1,5,28.81
3/11/2021,25.98,4,8,25.72
3/2/2021,28.82,5,3,25.73
8/1/2020,22.27,2,7,23.5
4/16/2021,20.84,10,10,21.71
10/9/2020,20.63,2,5,20.29
8/12/2020,22.35,9,10,26.82
2/6/2021,25.33,9,10,26.4
4/14/2021,21.92,8,12,22.64
5/22/2021,29.13,2,1,23.56
6/27/2021,26.95,1,1,26.18
9/16/2020,27.09,9,10,22.66
12/3/2020,25.0,10,12,20.26
3/10/2021,25.45,1,8,28.35
11/4/2020,25.32,10,9,23.18
10/1/2020,23.73,4,7,23.94
11/9/2020,26.71,2,1,29.5
12/30/2020,23.95,5,2,29.73
3/23/2021,29.02,4,9,21.83
1/31/2021,24.7,10,5,23.28
2/20/2021,27.22,6,7,26.22
10/31/2020,22.2,7,2,21.36
2/10/2021,28.2,6,1,23.03
10/16/2020,22.79,2,1,22.88
12/26/2020,27.7,5,4,25.32
11/27/2020,23.49,5,9,26.35
7/13/2021,29.54,1,8,23.21
10/14/2020,20.06,1,3,29.19
3/23/2021,27.64,2,1,22.26
1/6/2021,28.23,8,11,27.96
6/3/2021,24.9,3,8,27.99
11/28/2020,27.06,1,4,28.51
11/11/2020,22.76,8,3,23.55
6/30/2021,26.29,9,5,23.42
3/13/2021,25.72,6,9,21.9
6/25/2021,22.79,5,7,24.6
9/17/2020,27.17,4,6,23.85
1/14/2021,24.69,8,9,29.56
9/19/2020,28.15,2,12,23.97
4/22/2021,27.93,1,7,20.98
12/3/2020,28.03,10,8,24.52
5/18/2021,25.54,8,3,28.66
7/21/2020,22.31,3,6,20.63
2/18/2021,22.11,2,2,24.77
1/27/2021,25.14,5,3,26.68
4/27/2021,21.84,10,1,21.14
10/29/2020,24.92,5,12,28.07
9/15/2020,20.28,1,5,27.17
10/5/2020,23.08,9,4,28.23
5/23/2021,26.8,9,8,21.02
9/7/2020,25.54,7,10,23.84
3/29/2021,26.59,6,1,29.11
12/10/2020,26.49,3,8,22.94
7/10/2021,23.37,9,9,26.81
3/21/2021,22.13,5,3,21.02
5/5/2021,24.55,5,4,23.51
3/2/2021,28.08,7,12,27.54
12/7/2020,22.45,6,8,29.88
1/11/2021,20.21,4,5,22.07
1/24/2021,22.86,9,6,22.93
11/19/2020,25.08,1,3,26.57
10/15/2020,28.41,10,3,28.52
3/13/2021,26.42,2,8,25.61
11/24/2020,22.69,2,5,27.92
5/29/2021,24.58,5,11,28.77
10/26/2020,25.79,10,6,26.47
4/18/2021,22.49,2,3,29.43
1/7/2021,25.23,4,4,23.09
5/21/2021,29.14,9,6,23.5
5/3/2021,20.77,1,7,20.99
5/4/2021,29.91,3,2,24.12
1/4/2021,21.6,3,10,27.57
12/12/2020,24.19,4,11,23.66
10/26/2020,24.04,8,10,24.8
5/1/2021,22.56,10,6,25.95
10/2/2020,24.78,4,3,20.08
2/11/2021,28.52,7,7,26.98
12/28/2020,27.04,5,11,22.06
1/29/2021,28.92,2,6,21.31
2/28/2021,27.04,6,4,23.59
2/14/2021,24.16,1,4,23.45
12/11/2020,29.04,4,6,28.66
12/25/2020,24.91,6,8,22.96
6/4/2021,20.33,5,11,25.31
8/10/2020,29.11,8,2,27.98
1/26/2021,29.14,2,12,26.66
10/25/2020,27.74,8,9,23.59
5/13/2021,25.57,8,9,27.24
9/22/2020,20.46,9,3,20.23
6/28/2021,27.77,5,1,25.78
7/3/2021,21.12,3,12,20.96
2/19/2021,28.26,9,3,23.07
4/23/2021,20.5,7,10,21.28
11/5/2020,25.54,2,4,20.95
4/30/2021,21.03,5,2,25.51
12/26/2020,24.46,8,5,29.21
2/9/2021,25.07,2,9,28.52
1/10/2021,29.43,10,12,27.83
7/7/2021,21.03,1,2,28.32
2/13/2021,25.11,4,8,23.51
8/16/2020,27.86,5,4,24.51
9/17/2020,20.63,1,9,25.21
8/4/2020,23.97,7,1,21.97
5/2/2021,20.9,6,10,28.68
3/30/2021,21.35,1,8,28.58
10/25/2020,26.29,4,1,26.74
11/2/2020,26.76,1,12,24.33
1/5/2021,24.65,9,5,29.41
11/24/2020,26.17,7,10,27.96
11/28/2020,25.22,5,5,28.67
4/23/2021,21.52,7,7,20.82
8/28/2020,27.96,1,2,20.99
1/15/2021,28.86,8,11,28.6
1/8/2021,21.2,6,11,20.4
9/29/2020,23.98,10,7,21.26
1/1/2021,25.64,4,5,27.84
2/8/2021,24.33,2,2,25.13
3/7/2021,28.05,1,4,24.91
9/25/2020,24.65,1,4,27.07
7/12/2021,22.66,9,3,23.31
8/8/2020,23.23,9,9,20.14
8/12/2020,24.86,4,3,26.73
10/3/2020,22.14,5,5,28.3
5/20/2021,24.74,2,10,22.5
9/20/2020,23.66,8,4,22.51
12/24/2020,27.84,3,8,29.68
6/6/2021,28.3,6,7,25.58
3/23/2021,29.02,2,7,27.01
9/13/2020,21.97,2,12,28.26
8/21/2020,29.84,4,10,27.01
7/3/2021,26.97,6,9,25.02
4/16/2021,24.45,4,10,24.99
10/5/2020,23.81,8,1,22.47
2/28/2021,29.57,1,10,23.66
5/25/2021,29.86,10,8,28.18
8/28/2020,23.37,4,4,28.85
1/31/2021,21.52,3,12,22.65
5/20/2021,27.68,9,3,25.06
3/23/2021,25.51,2,10,28.89
7/13/2021,29.51,9,6,21.91
3/24/2021,24.35,4,9,24.83
7/6/2021,25.39,5,12,21.52
4/5/2021,27.18,7,6,24.09
9/15/2020,24.88,9,5,27.02
11/28/2020,25.41,6,5,25.9
6/4/2021,27.07,7,10,27.87
8/27/2020,20.79,6,7,30.0
10/17/2020,26.41,4,4,24.6
7/4/2021,21.08,10,7,29.85
9/29/2020,29.46,2,1,26.42
3/28/2021,29.12,6,4,23.26
4/20/2021,23.2,4,2,28.52
9/19/2020,27.42,1,9,21.82
6/2/2021,27.0,10,4,29.6
2/7/2021,21.4,10,9,24.43
6/14/2021,26.06,6,3,29.23
6/5/2021,21.32,3,7,29.24
7/12/2021,28.02,7,3,26.67
2/14/2021,22.82,7,7,26.24
12/15/2020,29.64,10,8,28.51
11/27/2020,21.36,2,11,23.88
9/30/2020,28.19,7,8,24.7
12/11/2020,27.19,10,3,22.28
5/6/2021,25.67,6,12,29.9
10/31/2020,29.45,10,8,26.09
11/30/2020,26.77,3,8,27.08
12/14/2020,23.47,10,1,26.0
11/5/2020,24.37,5,7,24.71
6/20/2021,27.56,3,10,28.56
4/16/2021,26.15,4,2,20.85
7/15/2020,23.52,8,5,27.2
12/29/2020,28.52,4,12,23.42
5/17/2021,24.75,8,11,21.86
7/31/2020,27.12,4,5,23.35
9/23/2020,20.28,5,7,27.47
5/11/2021,20.37,4,5,20.64
6/11/2021,24.44,1,10,27.85
6/17/2021,20.93,7,12,21.65
12/13/2020,24.27,4,8,23.41
8/22/2020,20.31,9,8,20.44
11/18/2020,28.84,1,8,27.73
12/1/2020,27.65,4,4,26.43
12/20/2020,28.16,7,5,20.76
4/6/2021,22.22,7,10,24.7
4/28/2021,20.52,6,5,23.3
1/17/2021,25.4,8,1,26.27
2/21/2021,29.61,3,7,20.23
9/12/2020,22.31,1,3,20.7
8/25/2020,20.86,8,1,28.12
8/24/2020,20.81,7,1,22.56
5/12/2021,24.69,9,11,21.49
3/6/2021,23.82,8,1,21.57
10/30/2020,22.35,4,4,28.38
12/16/2020,25.3,10,5,21.45
12/5/2020,24.39,4,3,24.62
8/13/2020,24.93,1,4,21.74
